"Benazir Scholarship Eligibility Merit Admission Age Limit","Urdu_Literal","Benazir scholarship ke liye merit par admission hona zaroori hai aur student ko university ki age limit ke andar hona chahiye."
"وظیفہ اہلیت میرٹ تے داخلہ عمر پوری ہونا","Urdu_Parent_Regional","وظیفہ ملن لئی ضروری اے کہ بچے دا داخلہ میرٹ تے ہویا ہووے تے اوہدی عمر وی یونیورسٹی دے حساب نال ٹھیک ہووے۔"
"بے نظیر اسکالرشپ نااہلیت دیگر وظائف ڈسٹنس لرننگ سیلف فنانس","Urdu_Conversational","وہ طلباء جو پہلے سے کوئی اور اسکالرشپ لے رہے ہوں، ڈسٹنس لرننگ (فاصلاتی تعلیم) میں داخل ہوں، یا سیلف سپورٹ/ایوننگ پروگرامز میں زیرِ تعلیم ہوں، وہ اس کے لیے اہل نہیں ہیں۔"
"Benazir Scholarship Ineligibility Other Scholarships Distance Learning Self Finance","Urdu_Literal","Wo students ineligible hain jo koi aur scholarship le rahe hon, distance learning mein hon, ya self-finance/evening programs mein hon."
"وظیفہ نہیں ملنا جے دوجی سکالرشپ ہووے یا شام دی کلاس","Urdu_Parent_Regional","جے بچہ کوئی ہور وظیفہ لے رہیا اے، یا گھر بیٹھے پڑھ رہیا اے، یا فیس دے کے شام دی کلاس وچ اے، تے اوہنوں اے وظیفہ نہیں ملے گا۔"
"دیا پاکستان اسکالرشپ ماہانہ وظیفہ گریجویٹ ماسٹرز لیول","Urdu_Conversational","دیا پاکستان فاؤنڈیشن گریجویٹ یا ماسٹر لیول کے طلباء کو ان کے پورے تعلیمی دورانیے کے لیے ماہانہ وظیفہ فراہم کرتی ہے۔"
"Diya Pakistan Scholarship Monthly Stipend Graduate Master Level","Urdu_Literal","Diya Pakistan scholarship graduate aur master level students ko complete degree ke liye monthly stipend deti hai."
"دیا پاکستان وظیفہ ہر مہینے پیسے ماسٹر دی پڑھائی","Urdu_Parent_Regional","دیا پاکستان ادارہ اوہناں بچیاں نوں جیہڑے بی ایس یا ماسٹر کر رہے نیں، پڑھائی پوری ہون تک ہر مہینے پیسے دیندا اے۔"
"دیا پاکستان اسکالرشپ تعلیمی معیار 60 فیصد نمبر","Urdu_Conversational","اس اسکالرشپ کے لیے درخواست دینے والے طلباء کا تمام تعلیمی سطحوں پر کم از کم 60 فیصد نمبر حاصل کرنا لازمی ہے۔"
"Diya Pakistan Scholarship Academic Requirement 60 Percent Marks","Urdu_Literal","Diya Pakistan scholarship eligibility ke liye sab academic levels par kam se kam 60% marks hona zaroori hain."
"وظیفہ اہلیت پڑھائی وچ گھٹ توں گھٹ ساٹھ فیصد نمبر","Urdu_Parent_Regional","اے وظیفہ اوہنوں ای ملے گا جیہنے اپنی ساری پڑھائی وچ گھٹ توں گھٹ ساٹھ فیصد نمبر لئے ہون گے۔"
"دیا پاکستان اسکالرشپ پی ایچ ڈی ایم فل اہلیت پالیسی","Urdu_Conversational","پی ایچ ڈی اور ایم فل کے طلباء عام طور پر اس کے لیے اہل نہیں ہیں، تاہم گریجویشن کے فوراً بعد ڈائریکٹ ایم فل میں داخلہ لینے والے طلباء درخواست دے سکتے ہیں۔"
"Diya Pakistan Scholarship PhD MPhil Eligibility Policy","Urdu_Literal","PhD aur MPhil students apply nahi kar sakte, lekin graduation ke baad direct MPhil karne wale apply kar sakte hain."
"پی ایچ ڈی وظیفہ نہیں البتہ ایم فل شروع ہون تے مل سکدا","Urdu_Parent_Regional","وڈی ڈگری (پی ایچ ڈی) والے بچیاں نوں اے نہیں ملدا، پر جے بچہ ڈگری کردے سار ای ایم فل وچ چلا جائے تے اوہ اپلائی کر سکدا اے۔"
"پاکستان بیت المال اسکالرشپ کور فیس تفصیلات","Urdu_Conversational","پاکستان بیت المال اسکالرشپ مستحق طلباء کی داخلہ، ٹیوشن، امتحانی، رجسٹریشن اور لائبریری کی غیر واپسی والی فیسوں کو کور کرتی ہے۔"
"Pakistan Bait-ul-Mal Scholarship Fee Coverage Details","Urdu_Literal","Bait-ul-Mal scholarship admission, tuition, exam aur registration fees cover karti hai."
"بیت المال وظیفہ کالج دی فیس لائبریری رجسٹریشن خرچے","Urdu_Parent_Regional","بیت المال اوہناں بچیاں دی پڑھائی دا خرچہ (فیس، لائبریری، پیپر) چکن گے جیہڑے حقدار نیں۔"
"پاکستان بیت المال اسکالرشپ نااہلیت سرکاری ملازمت","Urdu_Conversational","اگر کوئی طالب علم کسی مضمون میں فیل ہو جائے یا اس کے والدین/سرپرست سرکاری ملازم ہوں تو وہ اس اسکالرشپ کے لیے نااہل تصور کیا جاتا ہے۔"
"Pakistan Bait-ul-Mal Scholarship Ineligibility Govt Employee","Urdu_Literal","Agar student kisi subject mein fail ho jaye ya parents govt employee hon to wo ineligible ho jata hai."
"بیت المال وظیفہ کینسل جے پیپر فیل یا سرکاری نوکری","Urdu_Parent_Regional","جے بچہ پیپر وچ فیل ہو جائے یا اوہدے پیو دی سرکاری نوکری ہووے، تے بیت المال اوہنوں وظیفہ نہیں دیوے گا۔"
"اسکاٹش اسکالرشپ خواتین تعلیمی اخراجات سہولیات","Urdu_Conversational","سکاٹ لینڈ پاکستان اسکالرشپ طالبات کو ٹیوشن فیس، یونیورسٹی ہوسٹل کے اخراجات اور سال میں دو بار گھر آنے جانے کے سفری اخراجات فراہم کرتی ہے۔"
"Scottish Scholarship Female Education Expenses Facilities","Urdu_Literal","Scottish scholarship female students ki tuition fee, hostel costs aur saal mein 2 bar travel expenses cover karti hai."
"کڑیاں لئی وظیفہ ہوسٹل خرچہ تے گھر جان دے پیسے","Urdu_Parent_Regional","اے کڑیاں واسطے خاص وظیفہ اے جیہڑا فیس تے ہوسٹل دا خرچہ دیندا اے تے سال وچ دو وار گھر آون جان دے پیسے وی دیندا اے۔"
"پیف پی ای ای ایف اسکالرشپ ماسٹر لیول سہولیات","Urdu_Conversational","پی ای ای ایف (PEEF) اسکالرشپ پنجاب کے ماسٹر لیول طلباء کو 3000 روپے ماہانہ وظیفہ کے ساتھ ٹیوشن اور ہاسٹل کے اخراجات بھی فراہم کرتی ہے۔"
"PEEF Scholarship Master Level Facilities Monthly Stipend","Urdu_Literal","PEEF scholarship Punjab ke master students ko 3000 monthly stipend, tuition fee aur hostel expenses deti hai."
"ماسٹر وظیفہ تن ہزار مہینہ خرچہ تے ہوسٹل","Urdu_Parent_Regional","ماسٹر کرن والے بچیاں نوں پیف وظیفہ تن ہزار روپیہ مہینہ دیندا اے تے پڑھائی تے ہوسٹل دا خرچہ وی چکن گے۔"
"پی ای ای ایف آمدنی کی حد سرکاری ملازمین رعایت","Urdu_Conversational","پیف کے لیے ماہانہ گھریلو آمدنی 37,000 روپے یا اس سے کم ہونی چاہیے، تاہم گریڈ 1 سے 4 کے سرکاری ملازمین اور شہداء کے بچوں کے لیے استثنیٰ موجود ہے۔"
"PEEF Monthly Income Limit Govt Employee Relaxation","Urdu_Literal","PEEF ke liye family income 37,000 se kam honi chahiye, BPS 1-4 govt employees ke bachon ke liye income limit mein chhoot hai."
"گھر دی کمائی کم ہونی چاہی دی سرکاری ملازم دے بچیاں نوں رعایت","Urdu_Parent_Regional","گھر دی کمائی 37 ہزار توں گھٹ ہووے تے وظیفہ ملے گا، پر جے پیو چوتھے گریڈ دا ملازم ہووے تے رعایت مل سکدی اے۔"
"یونیورسٹی فیس معافی ایس او ایس اور شہداء خاندان","Urdu_Conversational","یونیورسٹی ایس او ایس چلڈرن ولیج کے طلباء اور شہداء کے بچوں یا شریک حیات کے لیے پورے تعلیمی دورانیے کے دوران ٹیوشن فیس میں 100 فیصد رعایت فراہم کرتی ہے۔"
"University Tuition Fee Exemption SOS Shaheed Family","Urdu_Literal","University SOS students aur Shaheedon ke bachon ya spouse ke liye 100% tuition fee maaf karti hai."
"فیس پوری معاف شہید دے بچے یا یتیم خانے دے بچے","Urdu_Parent_Regional","یونیورسٹی شہید دے بچیاں یا یتیم خانے (SOS) دے بچیاں دی پڑھائی دی پوری فیس معاف کر دیندی اے۔"
