"Language","Information_Text"
"Urdu","بی ایس آرٹیفیشل انٹیلیجنس سمسٹر 1 میں یہ مضامین شامل ہیں: پروگرامنگ فنڈامینٹلز (4 کریڈٹ آورز)، آئی سی ٹی کی ایپلیکیشن (3 کریڈٹ آورز)، ڈسکریٹ اسٹرکچرز (3 کریڈٹ آورز)، کیلکولس اینڈ اینالیٹک جیومیٹری (3 کریڈٹ آورز)، فنکشنل انگلش (3 کریڈٹ آورز)، اور انٹرو ٹو مارکیٹنگ (3 کریڈٹ آورز)۔"
"Mixed","BSAI Semester 1 mein Programming Fundamentals, ICT, Discrete Structures, Calculus aur Functional English parhaye jate hain."
"English","BS Artificial Intelligence Semester 2 covers: Object Oriented Programming (4 CH), Database Systems (4 CH), Digital Logic Design (3 CH), Multivariable Calculus (3 CH), Computer Networks (3 CH), and Translation of Holy Quran-I."
"Urdu","بی ایس آرٹیفیشل انٹیلیجنس سمسٹر 2 میں یہ مضامین شامل ہیں: آبجیکٹ اورینٹڈ پروگرامنگ (4 کریڈٹ آورز)، ڈیٹا بیس سسٹمز (4 کریڈٹ آورز)، ڈیجیٹل لاجک ڈیزائن (3 کریڈٹ آورز)، ملٹی ویری ایبل کیلکولس (3 کریڈٹ آورز)، کمپیوٹر نیٹ ورکس (3 کریڈٹ آورز)، اور ترجمہ قرآن-اوّل۔"
"Mixed","BSAI Semester 2 mein OOP, Database Systems, DLD, Multivariable Calculus, Computer Networks aur Tarjuma-tul-Quran parhaya jata hai."
"English","BS Artificial Intelligence Semester 3 focuses on: Data Structures (4 CH), Computer Organization & Assembly Language (3 CH), Artificial Intelligence (3 CH), Linear Algebra (3 CH), Software Engineering (3 CH), and Probability & Statistics (3 CH)."
"Urdu","بی ایس آرٹیفیشل انٹیلیجنس سمسٹر 3 میں یہ مضامین شامل ہیں: ڈیٹا اسٹرکچرز (4 کریڈٹ آورز)، کمپیوٹر آرگنائزیشن اینڈ اسمبلی لینگویج (3 کریڈٹ آورز)، آرٹیفیشل انٹیلیجنس (3 کریڈٹ آورز)، لینیئر الجبرا (3 کریڈٹ آورز)، سافٹ ویئر انجینئرنگ (3 کریڈٹ آورز)، اور پروبیبلیٹی اینڈ اسٹیٹسٹکس (3 کریڈٹ آورز)۔"
"Mixed","BSAI Semester 3 mein Data Structures, Assembly Language, AI, Linear Algebra aur Software Engineering jaise subjects shamil hain."
"English","BS Artificial Intelligence Semester 4 includes: Information Security (3 CH), Programming for Artificial Intelligence (3 CH), Machine Learning (3 CH), Applied Physics (3 CH), Expository Writing (3 CH), and Islamic Studies (2 CH)."
"Urdu","بی ایس آرٹیفیشل انٹیلیجنس سمسٹر 4 میں یہ مضامین شامل ہیں: انفارمیشن سیکیورٹی (3 کریڈٹ آورز)، پروگرامنگ فار آرٹیفیشل انٹیلیجنس (3 کریڈٹ آورز)، مشین لرننگ (3 کریڈٹ آورز)، اپلائیڈ فزکس (3 کریڈٹ آورز)، ایکسپوزیٹری رائٹنگ (3 کریڈٹ آورز)، اور اسلامیات (2 کریڈٹ آورز)۔"
"Mixed","BSAI Semester 4 mein Information Security, Machine Learning, AI Programming, Islamic Studies aur Applied Physics parhaya jata hai."
"English","BS Artificial Intelligence Semester 5 includes: Operating Systems (3 CH), Artificial Neural Networks & Deep Learning (3 CH), Knowledge Representation & Reasoning (3 CH), Domain Electives, and Social Science courses."
"Urdu","بی ایس آرٹیفیشل انٹیلیجنس سمسٹر 5 میں آپریٹنگ سسٹمز (3 کریڈٹ آورز)، آرٹیفیشل نیورل نیٹ ورکس اینڈ ڈیپ لرننگ (3 کریڈٹ آورز)، نالج ریپریزنٹیشن اینڈ ریزننگ (3 کریڈٹ آورز)، ڈومین الیکٹو مضامین، اور سوشل سائنس کورسز شامل ہیں۔"
"Mixed","BSAI Semester 5 mein Operating Systems, Deep Learning, Knowledge Representation aur elective subjects par focus hota hai."
"English","BS Artificial Intelligence Semester 6 covers: Computer Vision (3 CH), Parallel & Distributed Computing (3 CH), Domain Electives, and Translation of Holy Quran-III."
"Urdu","بی ایس آرٹیفیشل انٹیلیجنس سمسٹر 6 میں کمپیوٹر وژن (3 کریڈٹ آورز)، پیرا لیل اینڈ ڈسٹری بیوٹڈ کمپیوٹنگ (3 کریڈٹ آورز)، ڈومین الیکٹو مضامین، اور ترجمہ قرآن-سوئم شامل ہیں۔"
"Mixed","BSAI Semester 6 mein Computer Vision, Distributed Computing aur advanced elective subjects parhaye jate hain."
"English","BS Artificial Intelligence Semester 7 focuses on: Final Year Project-I (2 CH), Analysis of Algorithms (3 CH), Domain Electives, Technical & Business Writing (3 CH), and Entrepreneurship (2 CH)."
"Urdu","بی ایس آرٹیفیشل انٹیلیجنس سمسٹر 7 میں فائنل ایئر پراجیکٹ-اوّل (2 کریڈٹ آورز)، اینالیسس آف الگورتھمز (3 کریڈٹ آورز)، ڈومین الیکٹو مضامین، ٹیکنیکل اینڈ بزنس رائٹنگ (3 کریڈٹ آورز)، اور انٹرپرینیورشپ (2 کریڈٹ آورز) شامل ہیں۔"
"Mixed","BSAI Semester 7 mein FYP, Analysis of Algorithms, Entrepreneurship aur Technical Writing par focus hota hai."
"English","BS Artificial Intelligence Semester 8 focuses on: Final Year Project-II (4 CH), Ideology and Constitution of Pakistan (2 CH), Arts & Humanities (2 CH), Civics and Community Engagement (2 CH), and Translation of Holy Quran-IV."
"Urdu","بی ایس آرٹیفیشل انٹیلیجنس سمسٹر 8 میں فائنل ایئر پراجیکٹ-دوئم (4 کریڈٹ آورز)، نظریہ پاکستان و آئین پاکستان (2 کریڈٹ آورز)، آرٹس اینڈ ہیومینیٹیز (2 کریڈٹ آورز)، سوکس اینڈ کمیونٹی انگیجمنٹ (2 کریڈٹ آورز)، اور ترجمہ قرآن-چہارم شامل ہیں۔"
"Mixed","BSAI ke last semester mein Final Year Project, Pakistan Studies, Community Engagement aur Professional Practices par focus hota hai."
"English","BS Data Science Semester 1 includes courses: Programming Fundamentals (4 CH), Application of ICT (3 CH), Discrete Structures (3 CH), Calculus and Analytic Geometry (3 CH), Functional English (3 CH), Introduction to Marketing (3 CH), and Mathematics-I (Non Credit)."
"Urdu","بی ایس ڈیٹا سائنس سمسٹر 1 میں یہ مضامین شامل ہیں: پروگرامنگ فنڈامینٹلز (4 کریڈٹ آورز)، آئی سی ٹی کی ایپلیکیشن (3 کریڈٹ آورز)، ڈسکریٹ اسٹرکچرز (3 کریڈٹ آورز)، کیلکولس اینڈ اینالیٹک جیومیٹری (3 کریڈٹ آورز)، فنکشنل انگلش (3 کریڈٹ آورز)، انٹروڈکشن ٹو مارکیٹنگ (3 کریڈٹ آورز)، اور میتھمیٹکس-اوّل (نان کریڈٹ)۔"
"Mixed","BSDS Semester 1 mein Programming Fundamentals, ICT, Discrete Structures, Calculus aur Functional English parhaye jate hain."
"English","BS Data Science Semester 2 covers: Object Oriented Programming (4 CH), Database Systems (4 CH), Digital Logic Design (3 CH), Multivariable Calculus (3 CH), Computer Networks (3 CH), Mathematics-II (Non Credit), and Translation of Holy Quran-I."
"Urdu","بی ایس ڈیٹا سائنس سمسٹر 2 میں یہ مضامین شامل ہیں: آبجیکٹ اورینٹڈ پروگرامنگ (4 کریڈٹ آورز)، ڈیٹا بیس سسٹمز (4 کریڈٹ آورز)، ڈیجیٹل لاجک ڈیزائن (3 کریڈٹ آورز)، ملٹی ویری ایبل کیلکولس (3 کریڈٹ آورز)، کمپیوٹر نیٹ ورکس (3 کریڈٹ آورز)، میتھمیٹکس-دوئم (نان کریڈٹ)، اور ترجمہ قرآن-اوّل۔"
"Mixed","BSDS Semester 2 mein OOP, Database Systems, DLD, Multivariable Calculus, Computer Networks aur Tarjuma-tul-Quran parhaya jata hai."
"English","BS Data Science Semester 3 focuses on: Data Structures (4 CH), Computer Organization & Assembly Language (3 CH), Artificial Intelligence (3 CH), Linear Algebra (3 CH), Software Engineering (3 CH), and Probability & Statistics (3 CH)."
"Urdu","بی ایس ڈیٹا سائنس سمسٹر 3 میں یہ مضامین شامل ہیں: ڈیٹا اسٹرکچرز (4 کریڈٹ آورز)، کمپیوٹر آرگنائزیشن اینڈ اسمبلی لینگویج (3 کریڈٹ آورز)، آرٹیفیشل انٹیلیجنس (3 کریڈٹ آورز)، لینیئر الجبرا (3 کریڈٹ آورز)، سافٹ ویئر انجینئرنگ (3 کریڈٹ آورز)، اور پروبیبلیٹی اینڈ اسٹیٹسٹکس (3 کریڈٹ آورز)۔"
"Mixed","BSDS Semester 3 mein Data Structures, Assembly Language, AI, Linear Algebra aur Software Engineering jaise subjects shamil hain."
"English","BS Data Science Semester 4 includes: Information Security (3 CH), Introduction to Data Science (3 CH), Advanced Statistics (3 CH), Applied Physics (3 CH), Expository Writing (3 CH), Islamic Studies (2 CH), and Translation of Holy Quran-II."
"Urdu","بی ایس ڈیٹا سائنس سمسٹر 4 میں یہ مضامین شامل ہیں: انفارمیشن سیکیورٹی (3 کریڈٹ آورز)، انٹروڈکشن ٹو ڈیٹا سائنس (3 کریڈٹ آورز)، ایڈوانسڈ اسٹیٹسٹکس (3 کریڈٹ آورز)، اپلائیڈ فزکس (3 کریڈٹ آورز)، ایکسپوزیٹری رائٹنگ (3 کریڈٹ آورز)، اسلامیات (2 کریڈٹ آورز)، اور ترجمہ قرآن-دوئم۔"
"Mixed","BSDS Semester 4 mein Information Security, Data Science, Advanced Statistics aur Applied Physics par focus hota hai."
"English","BS Data Science Semester 5 includes: Operating Systems (3 CH), Data Mining (3 CH), Data Visualization (3 CH), Domain Electives, and Introduction to Management (2 CH)."
"Urdu","بی ایس ڈیٹا سائنس سمسٹر 5 میں آپریٹنگ سسٹمز (3 کریڈٹ آورز)، ڈیٹا مائننگ (3 کریڈٹ آورز)، ڈیٹا ویژولائزیشن (3 کریڈٹ آورز)، ڈومین الیکٹو مضامین، اور انٹروڈکشن ٹو مینجمنٹ (2 کریڈٹ آورز) شامل ہیں۔"
"Mixed","BSDS Semester 5 mein Operating Systems, Data Mining, Data Visualization aur elective subjects par focus hota hai."
"English","BS Data Science Semester 6 covers: Data Warehousing & Business Intelligence (3 CH), Parallel & Distributed Computing (3 CH), Domain Electives, and Translation of Holy Quran-III."
"Urdu","بی ایس ڈیٹا سائنس سمسٹر 6 میں ڈیٹا ویئرہاؤسنگ اینڈ بزنس انٹیلیجنس (3 کریڈٹ آورز)، پیرا لیل اینڈ ڈسٹری بیوٹڈ کمپیوٹنگ (3 کریڈٹ آورز)، ڈومین الیکٹو مضامین، اور ترجمہ قرآن-سوئم شامل ہیں۔"
"Mixed","BSDS Semester 6 mein Data Warehousing, Business Intelligence, Distributed Computing aur advanced elective subjects parhaye jate hain."
"English","BS Data Science Semester 7 focuses on: Final Year Project-I (2 CH), Analysis of Algorithms (3 CH), Domain Electives, Technical & Business Writing (3 CH), and Entrepreneurship (2 CH)."
"Urdu","بی ایس ڈیٹا سائنس سمسٹر 7 میں فائنل ایئر پراجیکٹ-اوّل (2 کریڈٹ آورز)، اینالیسس آف الگورتھمز (3 کریڈٹ آورز)، ڈومین الیکٹو مضامین، ٹیکنیکل اینڈ بزنس رائٹنگ (3 کریڈٹ آورز)، اور انٹرپرینیورشپ (2 کریڈٹ آورز) شامل ہیں۔"
"Mixed","BSDS Semester 7 mein FYP, Analysis of Algorithms, Entrepreneurship aur Technical Writing par focus hota hai."
"English","BS Data Science Semester 8 focuses on: Final Year Project-II (4 CH), Ideology and Constitution of Pakistan (2 CH), Professional Practices (2 CH), Civics and Community Engagement (2 CH), and Translation of Holy Quran-IV."
"Urdu","بی ایس ڈیٹا سائنس سمسٹر 8 میں فائنل ایئر پراجیکٹ-دوئم (4 کریڈٹ آورز)، نظریہ پاکستان و آئین پاکستان (2 کریڈٹ آورز)، پروفیشنل پریکٹسز (2 کریڈٹ آورز)، سوکس اینڈ کمیونٹی انگیجمنٹ (2 کریڈٹ آورز)، اور ترجمہ قرآن-چہارم شامل ہیں۔"
"Mixed","BSDS ke last semester mein Final Year Project, Professional Practices, Community Engagement aur Pakistan Studies par focus hota hai."
"English","MS Artificial Intelligence Semester 1 includes: Mathematical Foundations of AI (3 CH), Knowledge Representation and Reasoning (3 CH), and Elective-I (3 CH)."
"Urdu","ایم ایس آرٹیفیشل انٹیلیجنس سمسٹر 1 میں یہ مضامین شامل ہیں: میتھمیٹیکل فاؤنڈیشنز آف اے آئی (3 کریڈٹ آورز)، نالج ریپریزنٹیشن اینڈ ریزننگ (3 کریڈٹ آورز)، اور الیکٹو-اوّل (3 کریڈٹ آورز)۔"
"Mixed","MSAI Semester 1 mein Mathematical Foundations of AI, Knowledge Representation aur elective subject parhaya jata hai."
"English","MS Artificial Intelligence Semester 2 covers: Advanced Artificial Intelligence (3 CH), Advanced Machine Learning (3 CH), and Elective-II (3 CH)."
"Urdu","ایم ایس آرٹیفیشل انٹیلیجنس سمسٹر 2 میں یہ مضامین شامل ہیں: ایڈوانسڈ آرٹیفیشل انٹیلیجنس (3 کریڈٹ آورز)، ایڈوانسڈ مشین لرننگ (3 کریڈٹ آورز)، اور الیکٹو-دوئم (3 کریڈٹ آورز)۔"
"Mixed","MSAI Semester 2 mein Advanced AI, Advanced Machine Learning aur elective courses par focus hota hai."
"English","MS Artificial Intelligence Semester 3 includes: Thesis-I (3 CH), Elective-III (3 CH), and Elective-IV (3 CH)."
"Urdu","ایم ایس آرٹیفیشل انٹیلیجنس سمسٹر 3 میں تھیسس-اوّل (3 کریڈٹ آورز)، الیکٹو-سوئم (3 کریڈٹ آورز)، اور الیکٹو-چہارم (3 کریڈٹ آورز) شامل ہیں۔"
"Mixed","MSAI Semester 3 mein Thesis-I ke sath advanced elective subjects parhaye jate hain."
"English","MS Artificial Intelligence Semester 4 focuses on Thesis-II (3 CH)."
"Urdu","ایم ایس آرٹیفیشل انٹیلیجنس سمسٹر 4 میں تھیسس-دوئم (3 کریڈٹ آورز) پر توجہ دی جاتی ہے۔"
"Mixed","MSAI ke final semester mein Thesis-II complete ki جاتی ہے."
"English","MS Computer Science Semester 1 includes: Advanced Theory of Computation (3 CH), Advanced Algorithm Analysis (3 CH), and Advanced Operating Systems (3 CH)."
"Urdu","ایم ایس کمپیوٹر سائنس سمسٹر 1 میں یہ مضامین شامل ہیں: ایڈوانسڈ تھیوری آف کمپیوٹیشن (3 کریڈٹ آورز)، ایڈوانسڈ الگورتھم اینالیسس (3 کریڈٹ آورز)، اور ایڈوانسڈ آپریٹنگ سسٹمز (3 کریڈٹ آورز)۔"
"Mixed","MSCS Semester 1 mein Advanced Theory of Computation, Algorithm Analysis aur Advanced Operating Systems parhaye jate hain."
"English","MS Computer Science Semester 2 covers: Advanced Computer Architecture (3 CH), Elective-I (3 CH), and Elective-II (3 CH)."
"Urdu","ایم ایس کمپیوٹر سائنس سمسٹر 2 میں یہ مضامین شامل ہیں: ایڈوانسڈ کمپیوٹر آرکیٹیکچر (3 کریڈٹ آورز)، الیکٹو-اوّل (3 کریڈٹ آورز)، اور الیکٹو-دوئم (3 کریڈٹ آورز)۔"
"Mixed","MSCS Semester 2 mein Advanced Computer Architecture aur elective subjects par focus hota hai."
"English","MS Computer Science Semester 3 includes: Thesis-I (3 CH), Elective-III (3 CH), and Elective-IV (3 CH)."
"Urdu","ایم ایس کمپیوٹر سائنس سمسٹر 3 میں تھیسس-اوّل (3 کریڈٹ آورز)، الیکٹو-سوئم (3 کریڈٹ آورز)، اور الیکٹو-چہارم (3 کریڈٹ آورز) شامل ہیں۔"
"Mixed","MSCS Semester 3 mein Thesis-I ke sath advanced elective subjects parhaye jate hain."
"English","MS Computer Science Semester 4 focuses on Thesis-II (3 CH)."
"Urdu","ایم ایس کمپیوٹر سائنس سمسٹر 4 میں تھیسس-دوئم (3 کریڈٹ آورز) پر توجہ دی جاتی ہے۔"
"Mixed","MSCS ke final semester mein Thesis-II complete ki جاتی ہے."
"English","PhD Computer Science Coursework includes selecting 6 courses from a list of advanced research topics such as Natural Language Engineering, Grammar Engineering, Formal Methods, Machine Learning, Artificial Intelligence, Data Mining, Number Theory and Cryptography, Big Data Analysis, and Cloud Computing."
"Urdu","پی ایچ ڈی کمپیوٹر سائنس کے کورس ورک میں درج ذیل فہرست میں سے 6 کورسز منتخب کیے جاتے ہیں جن میں نیچرل لینگویج انجینئرنگ، گرامر انجینئرنگ، فارمل میتھڈز کے ایڈوانس ٹاپکس، مشین لرننگ، آرٹیفیشل انٹیلیجنس، ڈیٹا مائننگ، نمبر تھیوری اینڈ کرپٹوگرافی، بگ ڈیٹا اینالیسس، اور کلاؤڈ کمپیوٹنگ کے ایڈوانس موضوعات شامل ہیں۔"
"Mixed","PhD CS coursework mein NLP, AI, Machine Learning, Data Mining, Cryptography aur Cloud Computing jaise advanced research topics mein se electives select kiye jate hain."
